#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459291.955943048	18	3	2021	10	56	33.479	2500977.865	1117442.531	384.288
2459291.955943719	18	3	2021	10	56	33.537	2500978.263	1117442.480	384.305
2459291.955944808	18	3	2021	10	56	33.631	2500978.534	1117442.376	384.278
2459291.955945525	18	3	2021	10	56	33.693	2500978.910	1117442.293	384.290
2459291.955946404	18	3	2021	10	56	33.769	2500979.256	1117442.208	384.290
2459291.955947122	18	3	2021	10	56	33.831	2500979.611	1117442.128	384.291
2459291.955948025	18	3	2021	10	56	33.909	2500979.963	1117442.048	384.289
2459291.955948893	18	3	2021	10	56	33.984	2500980.339	1117441.967	384.291
2459291.955949900	18	3	2021	10	56	34.071	2500980.683	1117441.891	384.287
2459291.955950815	18	3	2021	10	56	34.150	2500981.061	1117441.804	384.303
2459291.955951393	18	3	2021	10	56	34.200	2500981.423	1117441.711	384.293
2459291.955952296	18	3	2021	10	56	34.278	2500981.771	1117441.637	384.296
2459291.955953025	18	3	2021	10	56	34.341	2500982.132	1117441.549	384.294
2459291.955953893	18	3	2021	10	56	34.416	2500982.472	1117441.473	384.301
2459291.955954715	18	3	2021	10	56	34.487	2500982.821	1117441.401	384.300
2459291.955955479	18	3	2021	10	56	34.553	2500983.191	1117441.315	384.302
2459291.955956382	18	3	2021	10	56	34.631	2500983.547	1117441.234	384.307
2459291.955957296	18	3	2021	10	56	34.710	2500983.874	1117441.160	384.297
2459291.955958338	18	3	2021	10	56	34.800	2500984.242	1117441.096	384.306
2459291.955959240	18	3	2021	10	56	34.878	2500984.578	1117441.006	384.297
2459291.955960108	18	3	2021	10	56	34.953	2500984.930	1117440.923	384.312
2459291.955961011	18	3	2021	10	56	35.031	2500985.280	1117440.843	384.298
2459291.955961740	18	3	2021	10	56	35.094	2500985.628	1117440.760	384.314
2459291.955962782	18	3	2021	10	56	35.184	2500985.985	1117440.685	384.314
2459291.955963326	18	3	2021	10	56	35.231	2500986.323	1117440.616	384.319
2459291.955964252	18	3	2021	10	56	35.311	2500986.650	1117440.540	384.316
2459291.955965108	18	3	2021	10	56	35.385	2500987.002	1117440.450	384.325
2459291.955965826	18	3	2021	10	56	35.447	2500987.337	1117440.376	384.330
2459291.955966752	18	3	2021	10	56	35.527	2500987.672	1117440.304	384.324
2459291.955967597	18	3	2021	10	56	35.600	2500988.025	1117440.220	384.329
2459291.955968500	18	3	2021	10	56	35.678	2500988.363	1117440.140	384.332
2459291.955969553	18	3	2021	10	56	35.769	2500988.724	1117440.065	384.335
2459291.955970282	18	3	2021	10	56	35.832	2500989.071	1117439.986	384.324
2459291.955971000	18	3	2021	10	56	35.894	2500989.418	1117439.905	384.336
2459291.955972053	18	3	2021	10	56	35.985	2500989.778	1117439.826	384.332
2459291.955972771	18	3	2021	10	56	36.047	2500990.127	1117439.790	384.332
2459291.955973858	18	3	2021	10	56	36.141	2500990.484	1117439.662	384.327
2459291.955974542	18	3	2021	10	56	36.200	2500990.811	1117439.589	384.333
2459291.955975271	18	3	2021	10	56	36.263	2500991.164	1117439.505	384.329
2459291.955975803	18	3	2021	10	56	36.309	2500991.501	1117439.433	384.328
2459291.955976856	18	3	2021	10	56	36.400	2500991.873	1117439.338	384.327
2459291.955977759	18	3	2021	10	56	36.478	2500992.191	1117439.267	384.326
2459291.955978477	18	3	2021	10	56	36.540	2500992.553	1117439.174	384.328
2459291.955979356	18	3	2021	10	56	36.616	2500992.876	1117439.099	384.328
2459291.955980259	18	3	2021	10	56	36.694	2500993.229	1117439.018	384.326
2459291.955980942	18	3	2021	10	56	36.753	2500993.557	1117438.936	384.324
2459291.955981845	18	3	2021	10	56	36.831	2500993.905	1117438.851	384.328
2459291.955982585	18	3	2021	10	56	36.895	2500994.240	1117438.768	384.328
2459291.955983615	18	3	2021	10	56	36.984	2500994.595	1117438.680	384.334
2459291.955984345	18	3	2021	10	56	37.047	2500994.921	1117438.596	384.331
2459291.955985248	18	3	2021	10	56	37.125	2500995.256	1117438.509	384.338
2459291.955986289	18	3	2021	10	56	37.215	2500995.584	1117438.426	384.334
2459291.955986833	18	3	2021	10	56	37.262	2500995.907	1117438.346	384.334
2459291.955987562	18	3	2021	10	56	37.325	2500996.245	1117438.258	384.334
2459291.955988430	18	3	2021	10	56	37.400	2500996.568	1117438.176	384.333
2459291.955989333	18	3	2021	10	56	37.478	2500996.889	1117438.090	384.327
2459291.955990063	18	3	2021	10	56	37.541	2500997.214	1117438.007	384.334
2459291.955990931	18	3	2021	10	56	37.616	2500997.895	1117437.822	384.335
2459291.955992701	18	3	2021	10	56	37.769	2500998.195	1117437.748	384.331
2459291.955993349	18	3	2021	10	56	37.825	2501002.388	1117436.596	384.344
2459291.956003951	18	3	2021	10	56	38.741	2501002.669	1117436.515	384.347
2459291.956004565	18	3	2021	10	56	38.794	2501005.798	1117435.617	384.384
2459291.956014981	18	3	2021	10	56	39.694	2501006.845	1117435.286	384.372
2459291.956015525	18	3	2021	10	56	39.741	2501007.122	1117435.212	384.379
2459291.956016208	18	3	2021	10	56	39.800	2501007.442	1117435.111	384.375
2459291.956016926	18	3	2021	10	56	39.862	2501007.736	1117435.025	384.381
2459291.956017829	18	3	2021	10	56	39.940	2501008.023	1117434.936	384.376
2459291.956018523	18	3	2021	10	56	40.000	2501008.314	1117434.847	384.386
2459291.956019240	18	3	2021	10	56	40.062	2501008.619	1117434.751	384.382
2459291.956020155	18	3	2021	10	56	40.141	2501008.915	1117434.662	384.384
2459291.956020838	18	3	2021	10	56	40.200	2501009.198	1117434.577	384.384
2459291.956021555	18	3	2021	10	56	40.262	2501009.494	1117434.486	384.388
2459291.956022296	18	3	2021	10	56	40.326	2501009.781	1117434.403	384.385
2459291.956023152	18	3	2021	10	56	40.400	2501010.074	1117434.310	384.384
2459291.956024055	18	3	2021	10	56	40.478	2501010.364	1117434.218	384.391
2459291.956024599	18	3	2021	10	56	40.525	2501010.641	1117434.140	384.390
2459291.956025467	18	3	2021	10	56	40.600	2501011.193	1117433.955	384.394
2459291.956026914	18	3	2021	10	56	40.725	2501011.465	1117433.869	384.395
2459291.956027597	18	3	2021	10	56	40.784	2501011.742	1117433.785	384.394
2459291.956028419	18	3	2021	10	56	40.855	2501012.021	1117433.691	384.399
2459291.956029148	18	3	2021	10	56	40.918	2501012.299	1117433.606	384.396
2459291.956029912	18	3	2021	10	56	40.984	2501012.569	1117433.515	384.402
2459291.956030641	18	3	2021	10	56	41.047	2501012.845	1117433.433	384.400
2459291.956031359	18	3	2021	10	56	41.109	2501013.110	1117433.345	384.402
2459291.956032412	18	3	2021	10	56	41.200	2501013.399	1117433.259	384.400
2459291.956033141	18	3	2021	10	56	41.263	2501013.669	1117433.169	384.410
2459291.956033858	18	3	2021	10	56	41.325	2501013.939	1117433.086	384.398
2459291.956034726	18	3	2021	10	56	41.400	2501014.215	1117432.997	384.406
2459291.956035444	18	3	2021	10	56	41.462	2501014.491	1117432.928	384.401
2459291.956036127	18	3	2021	10	56	41.521	2501015.004	1117432.745	384.402
2459291.956037574	18	3	2021	10	56	41.646	2501015.273	1117432.661	384.407
2459291.956038373	18	3	2021	10	56	41.715	2501015.526	1117432.579	384.407
2459291.956039182	18	3	2021	10	56	41.785	2501015.777	1117432.496	384.408
2459291.956039726	18	3	2021	10	56	41.832	2501016.022	1117432.422	384.410
2459291.956040641	18	3	2021	10	56	41.911	2501016.284	1117432.335	384.410
2459291.956041543	18	3	2021	10	56	41.989	2501016.531	1117432.248	384.410
2459291.956042215	18	3	2021	10	56	42.047	2501016.789	1117432.170	384.411
