#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459292.158270321	18	3	2021	15	47	54.556	2501025.879	1117429.252	384.424
2459292.158271004	18	3	2021	15	47	54.615	2501025.880	1117429.253	384.426
2459292.158271548	18	3	2021	15	47	54.662	2501025.880	1117429.254	384.422
2459292.158272451	18	3	2021	15	47	54.740	2501025.880	1117429.253	384.425
2459292.158273145	18	3	2021	15	47	54.800	2501025.879	1117429.252	384.425
2459292.158273689	18	3	2021	15	47	54.847	2501025.880	1117429.253	384.425
2459292.158274592	18	3	2021	15	47	54.925	2501025.880	1117429.253	384.426
2459292.158275101	18	3	2021	15	47	54.969	2501025.879	1117429.252	384.428
2459292.158276004	18	3	2021	15	47	55.047	2501025.880	1117429.255	384.425
2459292.158276721	18	3	2021	15	47	55.109	2501025.880	1117429.253	384.427
2459292.158277416	18	3	2021	15	47	55.169	2501025.880	1117429.255	384.426
2459292.158278134	18	3	2021	15	47	55.231	2501025.880	1117429.255	384.424
2459292.158279684	18	3	2021	15	47	55.365	2501025.880	1117429.255	384.427
2459292.158280089	18	3	2021	15	47	55.400	2501025.880	1117429.253	384.427
2459292.158280818	18	3	2021	15	47	55.463	2501025.880	1117429.253	384.429
2459292.158281559	18	3	2021	15	47	55.527	2501025.880	1117429.254	384.427
2459292.158282590	18	3	2021	15	47	55.616	2501025.880	1117429.253	384.426
2459292.158283134	18	3	2021	15	47	55.663	2501025.880	1117429.253	384.427
2459292.158283851	18	3	2021	15	47	55.725	2501025.880	1117429.254	384.424
2459292.158284545	18	3	2021	15	47	55.785	2501025.880	1117429.254	384.427
2459292.158285356	18	3	2021	15	47	55.855	2501025.881	1117429.257	384.429
2459292.158285900	18	3	2021	15	47	55.902	2501025.881	1117429.256	384.425
2459292.158286490	18	3	2021	15	47	55.953	2501025.880	1117429.256	384.423
2459292.158287208	18	3	2021	15	47	56.015	2501025.881	1117429.257	384.427
2459292.158287937	18	3	2021	15	47	56.078	2501025.880	1117429.255	384.426
2459292.158288701	18	3	2021	15	47	56.144	2501025.881	1117429.257	384.425
2459292.158289522	18	3	2021	15	47	56.215	2501025.880	1117429.256	384.426
2459292.158290251	18	3	2021	15	47	56.278	2501025.880	1117429.254	384.426
2459292.158291120	18	3	2021	15	47	56.353	2501025.880	1117429.254	384.428
2459292.158292023	18	3	2021	15	47	56.431	2501025.879	1117429.250	384.428
2459292.158292566	18	3	2021	15	47	56.478	2501025.881	1117429.258	384.425
2459292.158293284	18	3	2021	15	47	56.540	2501025.880	1117429.255	384.428
2459292.158293978	18	3	2021	15	47	56.600	2501025.880	1117429.254	384.427
2459292.158294881	18	3	2021	15	47	56.678	2501025.879	1117429.252	384.428
2459292.158295332	18	3	2021	15	47	56.717	2501025.880	1117429.254	384.424
2459292.158296293	18	3	2021	15	47	56.800	2501025.880	1117429.253	384.428
2459292.158297034	18	3	2021	15	47	56.864	2501025.880	1117429.254	384.426
2459292.158298423	18	3	2021	15	47	56.984	2501025.880	1117429.253	384.424
2459292.158298966	18	3	2021	15	47	57.031	2501025.880	1117429.254	384.427
2459292.158299869	18	3	2021	15	47	57.109	2501025.880	1117429.254	384.427
2459292.158300564	18	3	2021	15	47	57.169	2501025.880	1117429.253	384.425
2459292.158301108	18	3	2021	15	47	57.216	2501025.880	1117429.254	384.428
2459292.158301918	18	3	2021	15	47	57.286	2501025.879	1117429.252	384.426
2459292.158302648	18	3	2021	15	47	57.349	2501025.880	1117429.254	384.425
2459292.158303423	18	3	2021	15	47	57.416	2501025.879	1117429.253	384.426
2459292.158304140	18	3	2021	15	47	57.478	2501025.880	1117429.253	384.425
2459292.158304835	18	3	2021	15	47	57.538	2501025.879	1117429.252	384.427
2459292.158305738	18	3	2021	15	47	57.616	2501025.880	1117429.253	384.425
2459292.158306282	18	3	2021	15	47	57.663	2501025.879	1117429.252	384.426
2459292.158306999	18	3	2021	15	47	57.725	2501025.879	1117429.252	384.424
2459292.158307867	18	3	2021	15	47	57.800	2501025.879	1117429.252	384.427
2459292.158308596	18	3	2021	15	47	57.863	2501025.880	1117429.254	384.427
2459292.158309499	18	3	2021	15	47	57.941	2501025.880	1117429.254	384.429
2459292.158310008	18	3	2021	15	47	57.985	2501025.879	1117429.253	384.429
2459292.158310726	18	3	2021	15	47	58.047	2501025.880	1117429.253	384.428
2459292.158311362	18	3	2021	15	47	58.102	2501025.880	1117429.253	384.429
2459292.158312115	18	3	2021	15	47	58.167	2501025.879	1117429.251	384.428
2459292.158312670	18	3	2021	15	47	58.215	2501025.880	1117429.253	384.428
2459292.158313399	18	3	2021	15	47	58.278	2501025.879	1117429.252	384.429
2459292.158314279	18	3	2021	15	47	58.354	2501025.880	1117429.254	384.428
2459292.158315182	18	3	2021	15	47	58.432	2501025.880	1117429.254	384.426
2459292.158315714	18	3	2021	15	47	58.478	2501025.879	1117429.252	384.431
2459292.158316409	18	3	2021	15	47	58.538	2501025.879	1117429.251	384.429
2459292.158317312	18	3	2021	15	47	58.616	2501025.879	1117429.252	384.431
2459292.158317856	18	3	2021	15	47	58.663	2501025.880	1117429.253	384.427
2459292.158318573	18	3	2021	15	47	58.725	2501025.878	1117429.248	384.429
2459292.158319626	18	3	2021	15	47	58.816	2501025.879	1117429.251	384.429
2459292.158320159	18	3	2021	15	47	58.862	2501025.880	1117429.253	384.427
2459292.158321062	18	3	2021	15	47	58.940	2501025.879	1117429.251	384.429
2459292.158321398	18	3	2021	15	47	58.969	2501025.879	1117429.251	384.428
